id	text	polarity
530	#turkcellesavasimvar Haksız kazanç elde ettiklerini dava 10 sene sürse kanıtlayacağım ve emsal teşkil etmesini sağlayacağım Turkcell duy	negative
531	Bi turkcell düşünüyo zaten :S	positive
532	maNga Turkcell muzik.com'da saat 15:00'te.	positive
533	Bu turkcell iyice mala bağladı,kampanya msjları yetmiyormuş gibi bi de sesli olarak arayp kampanya dinlettler bana ya sapık mıdır nedrler ya	negative
534	keşke  faturam ne kadar die  e msj atıp uykumu kaçırmasaydım :))	negative
535	valla 3g bile cekmiyo bazen turkcell i aradm gecen telefon cekmiyo derken yine kesildi.geri bile donmediler.rezalet:)	negative
536	Mesaj hakkı yapamıyorum,turkcell yok olsun istiyorum şuan	negative
537	bundan daha guzel bir haber olamaz! turkcell'in baz istasyonu sokuluyor! sukurler olsun! her kimin emegi varsa binlerce kez tesekkurler:))))	negative
538	oh hayat size güzel ama unutma hayat paylaşınca güzel :-))))	positive
539	turkcelll superonline ile birlikte çalışıyor süper hızda fiber internet edinebilirsin :)	positive
540	zaman ne diyoruz HAYAT PAYLAŞINCA GÜZEL la la la la :))))))))	positive
541	4 cekermish! Kactir kesiliyor konusmanin ortasinda! Yalan dolan reklam yapacaginiza azcik yatirim yapin..	negative
542	hahahahah :D ya yemin ederim bok gibi superonline ttnet daha iyidi :D	negative
543	keske turkcell panpisim ve karsim i de yazsaydi panolara bende sana burdan yolluyorum muck :)	positive
544	KKTC Girne'de Turkcell şebekesi iptal...!!!netten ulaşın iyi geceler	negative
545	Telefonum çalındığı için eski bir telefona taktım hattımı. Taktığım anda mobil oyun diye bi servis mesajı geldi ve mesajı sildiğim	negative
546	Ohh Allaha sukur turkcell selo canlarina yilbasi reklami yapmamiss :) ne buyuk eksiklikkk anlatamam	negative
547	Bide platin. musteriyiz hic biseyden haberimiz olmaz... 4 saat once bilet aldim bu bana yapilir mi ?	negative
548	biz hala iyiyiz hayat paylasınca güzel la ala la kurumsal temsilci	positive
549	TURKCELL İN TARİFE politikası her tarifede açık bir kapı bırakarak faturamıza FAZLA ama kitabına uygun PARA ÖDETTİRİYOR	negative
550	işim gücüm yok turkcell in fizydeki telefondan sms olarak ücretsiz şarkı paylaşma uygulamasını deniyorum. ve HALA KİMSE TEŞEKKÜR ETMEDİ.	negative
551	ceo'n çapak dolsun turkcell	negative
552	Bugün turkcell müzik konserlerinde  Manga'yla birlikteyiz saat 15:00 itibariyle Manga sizlerle iyi seyirler  (www.turkcellmuzik.com)	positive
553	yok cnm Turkcell hep öyle malesef:S	negative
554	turkcell 3 tl hediye etse bana ne güzel olur =)	positive
555	"Biri bana turkcellin sevgi sözcüklerinden yollasa ""ıy kro"" derim. Toprağım nedir ya? Kusura bakma turkcell hiç romantik değilsin..."	negative
556	-00.00 da atarsa Türkcell mesaj atar yani	negative
557	derimod benetton sisley turkcell  sevil ykm bana sms atmayın size ihtiyacım yok sizden msj beklemiorm ananızı skim heycanlanıorm tlf ötünce!	negative
558	lan türksel şu saçma salak genc kafası at kafası kampanya reklamlarının mesajlarını atmayı kes!	negative
559	superonline magduru daha coktur emin ol.durduk yerde 2mlyar kitlediler bana.superonline cok yalanci kandiriyo hep	negative
560	Migros'ta telefonunu Turkcell'e taşıyana 50tl lik alışveriş hakkı veriliyormuş. Yakında numarasını taşıyana maaş bağlayacaklar herhalde.	positive
561	İstanbul'un göbeğinde, 2012'de, bizim evde Turkcell çekmiyor. Evet.	negative
562	Mesajsa turkcell arayansa annemdir. Cok yalnizim yaa hayat cok acimasiz :(	negative
563	"turkcell hattindan bana ""naber mal"" diye mesaj geldiği zaman."	negative
564	#TurklereOzguDavranislar pazartesi persembe turkcell sınema gunu gelsede sınemaya gıtsek dıye beklemek	positive
565	Bu kez de çok kaliteli olmuş :)	positive
566	önce  in beni araması gerkiyormuş :D bunu TİM'de söylediler. gülsem mi ağlasam mı ne biçim hizmet anlayışı ??? ekimden beri...	negative
567	linkteki haber i okuyun ama sonuna kadar reklam tekniğin süper turkcell ağzına sıçimmm	negative
568	bir aydır iptal etmeye çalıştığım paketi, böyle bi paketiniz bulunmayan diyen turkcell gene kazığı çaktı biyerlerime...	negative
569	Avea yalan söylüyor Tamam denilen işleme 15 gün sonra olmaz dediler Kendi içinde iletişim kuramayanlar müşteri ile nasıl kursun	negative
570	öğlen attığım mesajlar şimdi iletiliyor.oha turkcell	negative
571	Olabilir valla Ama benimki Turkcell, burada baz istasyonu bile yok. Yani uzak..	negative
572	Maalesef Turkcell sorunumu çözemiyor ben bir süreliğine İsrail'de olacağım	negative
573	bu turkcell vınn ne ayak ya çek-mi-yoooooorrr sinir oldum peh	negative
574	"Dileğim; SuperOnline, Turkcell, TTNET vb. firmaların 2012'de ""sizi arayacağız"" demek yerine direk burdan cevap vermesi şeklinde. #hope #2012"	negative
575	opuldun bebegim ;) Tebrikler! Size ozel 1 ay boyunca yurtici heryone 100 dakika ve 300 SMS kazandiniz. Gule gule kullanin!	positive
576	2 dakikada bir kesilen sevgili superonline beni çıldırtma lütfen...	negative
577	Sen beni delirtirsin turkcell	negative
578	millet telefonuna mesaj gelince ''aaa kesin o :)):))'' diye pırpırlanıyor. Ben direk '' yine Turkcell'dir amk.''	negative
579	15. Katta Turkcell cekememısı  demek ne demek yaa ?	negative
580	Bu Turkcell iyice aştı kendini 2 dakikada 6 mesaj gönderilir mi? İnsan içlerinden biri başkasındandır diye umutlanıyor insafsızlaaaaar.	negative
581	Ekran jelatini Turkcell'de 40 lira iken telefoncuda 5 lira. Kazık kol boyu	negative
582	1GB internet paketi aldım 1 ay olmadan bitti nasıl oluyor çok merak ediyorum Ey Turkcell cevap ver!??	negative
583	32 GB Gold paket gayet iyi :)	positive
584	bugün kesilen internet kendi kendine yeniden açıldı  süperonline yaptığı hatayı kendi kendine anladı :D	positive
585	Bugun aradigim butun turkcell'lilerin telefonunda telesekreter cikmasi ama hepsinin buna sasirmasi, bir tur turkcell gocugu degil de nedir?	negative
586	#turkcellmuzik Konser İçin Çok Teşekkürler ! Turkcell &amp; Manga !	positive
587	depremzede nin yanındayız deyip sormadan ertelediginiz faturayı topluca geçirdiniz Turkcell'e bağlandık hayata	negative
588	reklamlarınızdan nefret ediyorum	negative
589	ne kadar yaparsa yapsın ama Türkiye'nin internetinden bi çacık olmaz.İnternet ,teknoloji geride bi de istihbarat desen seviye 1...	negative
590	İphone'un yeni modeli İphone 4S, Turkcell tarafından satışa sunulacak.	positive
591	belki Turkcell le baglansak hayata hersey daha kolay olur:)	positive
592	"""10 mb limitsiz"" internet bağlantsına kota koyan zihniyeti kınıyorum  #superonline"	negative
593	beni bekleyen dogumgunu pastam icin cok tesekkurler	positive
594	Ibne turkcell piç yine yeniledi int paketimi ya	negative
595	#Turkcell'den yeni bir hizmet daha! Unutkanlık. Numaranızı verin, biz yine soralım. Hayat salladıkça güzel.	negative
596	Tüm müzik ihtiyaçlarınızın (Dinleme, indirme, keşfetme vb.) Turkcell kalitesiyle tek bir uygulamada toplanmış olması fena mı? :)	positive
597	Tabi canım o yüzden Genç Turkcell kampanyasıyla gidiyoruz sinemaya biz :))))	positive
598	TURKCELL den artık şu kadar paraya şu saate kadar şu kadar konuş sms leri GELSİN İSTEMİYORUM !	negative
599	Madem turkcell hediye 700 sms verdi, idareli kullanmak lazim 	negative
600	EDGE ne 3G ne tukureyim Turkcell.Zorla adami Ozturkcelli yapacaksin	negative
601	bu turkcell ile vodafone u baş göz etmek lazım ekürim. o zaman hep beraber kurtuluruz bunlardan :))	negative
602	ergenim ben taam mı? Turkcell'in kalıplarına tüküreyim,o dedi. Bok mu vardı ki şimdi uğraştım? Tamam sakinim. Evet. :|	negative
603	Oha telefonum bildiğin çekmiyor şuan Turkcell hayatın yalan senin!	negative
604	işe bak!  reklam için aramış, ulaşamayıp ses kaydını sesli mesaj bırakmış.  dinleme ücreti kesti benden! fiyasko!	negative
605	bunların hepsi böle digiturk turkcel telekom soyguncu	negative
606	"o hep yanımda oldu hıcbır zaman benı yanlız bırakmadı o  en cok duydugun ısımdı cunku o "" turkcell"" dı sen ne beklıyodun kı amk"	negative
607	Hayatın beleşçilik git Turkcell'den al.	positive
608	Turkcellin paket ve reklamlarıni duymak zorunda miyim?bir soru sormak için anlamıyorum. biraz saygı cırtcell... Ne müşteri hizmeti	negative
609	İsteyen arkadaşlar  bayilerine koşsun.. Yalnız alacağınız hattın bedava olmasına kanmayın. Faturası acıtır sonra :))	negative
610	Bugun Superonline musteri hizmetlerini arayip churn + avantajli kampanya paketlerini soracagim. Artik TTNet'e para bayilmaya son ..	positive
611	Iphone 4S, yine tabi ki sadece Turkcell ile Türkiye'de.. 16.12.2011 tarihini bekleyin hayat teknolojiyi paylaşınca güzel la la la la la la:)	positive
612	1 sn de nobetci eczaneleri bulup 1 km yakındaki eczaneyi 1 saat aramaya gerek bırakmayan Turkcell pusula uygulaması seviyoruz seni	positive
613	Cok ibnesin turkcell.Zalımsın turkcell.	negative
614	#turkcell amacın ne olum sapığım oldun her gece her gece arayıp duruyosun ben de ciddi bi şekilde açıyorum efendim diye bi git allasen ya	negative
615	timelineda bilgi kirliligi. Her sabahki cakma pozitif tonla gunaydin ile esdeger.	negative
616	keşiflerini paylasmalısın . Hayat paylasınca güzel  . Reklamı bile var :D	positive
617	bebegim turkcell iptal :( bu arada kız bugun trafige cıkmıs bulunmakta. her an arabayı kacırıp sana gelebilirim :D	negative
618	beni bu hale getiren türkcell utansın:) zorla internet paketi kitledi...	negative
619	hayat paylaşınca güzel canım benim :)	positive
620	ne yaptı ki Turkcell? Ben yanlış paket almisim aradım müşteri hizmetlerini tllerimi geri gönderdiler :)	positive
621	#hayatpaylasincaguzel Turkcell 14. ITU Sektör Günlerinde #ituemk	positive
622	0532 li bir numaradan aramanın nedeni ne Turkcell? o kadar öksürüp sesimi açmıştım. cani!	negative
623	tcell benmle hayata bağlan dedi faturada bana bi koydu...soluğu vodafone'da aldım:))	negative
624	Yatak aldim, yorgan ve yastigi Turkcell verdi :)	positive
625	Elifi yeriiim :D malesef bizi ayiran turkcell :(	negative
626	bir de bankalar, digitürk ve türkcell tam bir mücadele :)	negative
627	bugün turkcell mesaj atmadı,basına birşey gelmis olmasın .s.s	negative
628	su an iniyor. :) ama 6 saat verdi mkv'ye, derhal daha hizli insin. ya superonline fiber ne guzeldi amk cihangir.	positive
629	senin bu cekememezliginden biktim usandim #turkcell	negative
630	neden hep istanbul birazda izmirde bir seyler yapsaniz ?	negative
631	Bu Turkcell cok iyi lan.Durduk yere mesaj atıyor, kampanyalarıyla mutlu ediyor falan.Sevgilim gorup kıskanır umarım.	positive
632	Iphone 4s almak icin  'i beklemekle hata mi yaptim, hediye verdiginiz 1800dk. ı kullandim diye alamiyorum, bu ne sacmalik?	negative
633	Coca cola ve turkcell cok guzel reklam yapiyo ya :)	positive
634	fiyat basl peki cokmu azmi. Alablrzz uygunsaa	positive
635	reklamlarında   dağda bayırda çekiyor fakat istanbulun göbeğinde bizim evde çekmiyordu.	negative
636	50tl yakıt alıyoruz 50dakika kazanmak için şifre yolluyoruz. Sonra mesaj geliyor arama yapıyoruz kontör gidiyor nerde kazanılan dk	negative
637	istanbul'dan bolu'ya kadar hiç kopmadan internet keyfini bana yaşatan turkcell 3g'ye sonsuz teşekkürler =).. hizmet budur..	positive
638	saatlerdir telefonum kapalı, daha yeni açtım kimse aramamış kimse mesaj atmamış bir turkcell sağolsun vallahi billahi hepinizden vefalı:)	positive
639	biri bana turkcell in gezenzi ye hala yatirim yaparak neye kastigini soyleyebilir mi? foursquare diye bir sey var da...	negative
640	onun bunun cocugu turkcel...son bır haftaya gırdı ya	negative
641	Önce iletim raporu geliyo sonra bakıyorum iletilmedi beklemede. Turkcell sen benimle dalgamı geciyosun acebaa?	negative
642	10 tl mi 20 tl yapma türkcell sus bi mınakodum ya sus saat başı mesaj mı atılır	negative
643	bu arada telefonumu açtım, turkcell art arda 5 mesaj attı. korkmaya başladım. ben turkcell'i arkadaş olarak sevmiştim ama:(	negative
644	Ne saçma abi. Evdeki bağlantım Twitter ve Dropbox'a girmeme izin vermiyor. Superonline'ın saçmalığı mı?	negative
645	hayat paylasinca guzel ;)))	positive
646	iletişim bilgilerimi ben size iletim iletmesine de superonline'ın yaptıkları geçeli 1 ay olmamasına rağmen 1 değil 2 değil.	negative
647	Sabah 7de mesaj atan turkcell sapıkmısın lan	negative
648	Ben memnunum  'den :)	positive
649	Sadece 1 dakikam kaldı diye  benimle random gülerek dalga geçiyor. Sanki senin 1 dakikana kaldık. :)	negative
650	yaziklar olsun Turkcell yaziklar olsun Armes Group	negative
651	Eğer hattınız turkcell ise yalnız değilsiniz demektir. Yoksa hergün düzenli olarak kim mesaj gönderir.	negative
652	film ızlıyordumm :( görmedim ve suan sinirlıyım turkcell oyalıyor hep beni	negative
653	Bugún Turkcell' mesaj atmadı. Kesın başka biri var :)	negative
654	Taksim'in göbeğinde the Marmara'nın 19. Katında 3G yok iyimi.. Mac ziyan oldu valla .. Mobil tv alacakmışım seyredemedikten sonra	negative
655	#turkcell #ozturkmatik reklami allah belanizi vermesin!! Vapurda deli gibi guldurdun beni...	positive
656	"4 yillik tecrubeme dayanarak söyleyebilirim ki; ""her yerde 4 çeker"" büyük yalan! Bu Turkcell Bakirköy'de cekmiyor.Günesli'de hic cekmiyor..."	negative
657	superonline fiber internet tavsiye ederim. Hızı da gayet iyi. İlk başlarda sorun yaşadım ama şuan memnunum.	positive
658	bugün bana yaptığın haksızlığı sana hiç unutturmayacağım..hani 150 her yöne kampanyası..artık yaşasın turkcell.seni terkediyom avea..	positive
659	fiber superonline diyorum başka da birşey demiyorum..daha hiç kazığını yemedim :)	positive
660	Sayın Süreyya Ciliv'e Türkiye'ye Değer Katanlar Ödülü takdim ediliyor.	positive
661	5326833306 nolu hattımın ipone4 s kontratlı tekliften yararlanmak istiyorum teşekkürler	positive
662	sen ne kadar salak bir operatörsün TURKCELL ya gecenin 1'inde aynı mesaj 14 kere üst üste gönderilir mi? ya uyuyorsam ya erken kalkacaksam??	negative
663	oha #turkcell bu da mı gol değil ulan ben geç öğrenci kampüslü bi tarifenizdeyim 92,68 TL lik fatura nereme!	negative
664	benim bulunduğum şehirde yok ee şansımı kayıp etmiş oluyorum:((	negative
665	#turkcell bu ay ki giderlerini bugun benden carptigi paralarla yapacakmis.	negative
666	Medyada yer alan 'olumsuz haberler klasörünün' Turkcell Genel Müdürü Süreyya Ciliv'e gösterilmediğini düşünüyorum ciddi ciddi	negative
667	hayır yaaa turkcell gayet :(	negative
668	2011 Turkcell Blog Ödülleri'nde ilk 3'te yokuz. Dilimin Ayarı Yok'u 143 blog arasından ilk 10'a taşıyan herkese çok teşekkürler... :))	positive
669	#turkcell kadar serefsiz bi operator daha bilmiyorum :/	negative
670	valla ben tarifem neyse onu oduyorum turkcellden de gayet memnunum yillardir turkcelliyim...	positive
671	KADİRLE BAĞLAN HAYATA  :=))	positive
672	#TURKCELL seni de ben boykot edicem.	negative
673	Ben de  'den kazandım bir tane. Bu hafta elime ulaşır sanırım.	positive
674	abla cuma günü turkcell muzikte seni canlı canlı internettenmi dinlicez turkcell muzikte olcağını biliyorum ama nasıl olcak?	positive
675	çekirge ssk civarlarında türkcell s.çmış durumda  tek diş hat var be utanç verici bir durum utandım ben şahsen:	negative
676	Hiç haketmedigim halde beni magdur eden TURKCELL i protesto ediyorum.Param ödenmiş,güncelleştirmem yapılmış vel tel.kapanmış	negative
677	Bütün Turkcellilerde hayat paylaşınca güzel çalıyor.. Hoşuma giden müzikten midem bulanmaya başladı sanki :)))	negative
678	saol sana da :-)	positive
679	Mesajlarım neden iletilmiyor ? Ne boktan bir operatördür TURKCELL !!!	negative
680	Belki de de ilk kez size sonuna kadar katılıyorm.Turkcell Acun ortaklığı ne?Bütün gece 5 dakkada birTurkcell reklamı yayınlanıyr	negative
681	Sana ne kadar teşekkür etsem azdır Turkcell :)	positive
682	D-Smart bugünler de ex aşkım Turkcell'den bile daha fazla mesaj göndermeye başladı.Çok seviyor olmaı.	negative
683	bu saatte gelen mesaj elbet turkcell'den gelir... senden gelecek değil ya...	negative
684	#Superonline  Adil Kullanım Kandırmacasına kaşı açılan davalarda kaybetmeye başladı. Mağdursan sende dava et.Bilgi için:	negative
685	dıtdıtdırıtdıtt :D of turkcell reklamı aklıma geldi          :D	positive
686	ya varya Allah'tan durexte falan çalışmıyosun.	negative
687	iş dönüşü nimbuzz la bağlan hayata ;-)	positive
688	ben ttnet kullanıyorum ama bence superonline daha iyi -,-	positive
689	Bu akşam sinemada Sherlock'ta kullanmak için bi gnctrkcll şifresi lazım gençler. Bi el atıverin hadi.	positive
690	Bu gerizekalı tcell gece bedava vereceğine gündüz verseydi nolurdu	negative
691	turkcell can faturali canan:):)	positive
692	hayat paylaşınca güzel tabii:)	positive
693	Bi sesli mesajim var diye sevinirken o da turkcell çıktı ya, ne diyim sana turkcell! Defol git turkcell!	negative
694	Internet paketimi iptal edemiorum yardm edersnz sevinrm...	negative
695	Kurumsal hat kullanmak yerine bireysel faturalı ol daha iyi valla, bireysel faturalı olsaydım Turkcell'de simdi Samsung Galaxy Note almıstım	positive
696	bence direk al ayni gun aciliyor we turkcel cok dha awantajli	positive
697	:)) 1,5 saat ise süper.. Normalde atatürkden gidiyorum ama turkcell sunexpress kampanyasından yararlandım ucuza geldi baya :)))	positive
698	o zaman sana bir soru. 8yıl turkcell kullanıp,bi gazla avea'ya geçtim ama şimdi yine turkcell'e geçmeyi düşünüyorum. sence?	positive
699	Medyaplus - Turkcell Superonline'dan 1 milyon eve fiber internet	positive
700	turkcell musteri hizmetleriyle cok kibar konusuyosun,,,ben senin kadar sabirli olamiyorum mojitoooo!	negative
701	"kimse seneye görüşürüz esprisi yapmıyo derken,aranan kan bulundu: ""demin sms yaptım seneye kadar kullanıcam,turkcell'i fena kazıkladım."""	negative
702	Turkcell'in premium musterisi olmamama ragmen cihaz temini icin gostermis oldugunuz ozel ilgiden dolayi cok tesekkur ederim.	positive
703	"Ortaya çıktığından beri Turkcell gibi beni yalnız bırakmayan ""City Ville"" isteklerine burdan teşekkürlerimi iletiyorum, sağolun var olun."	positive
704	Sahanin Turkcell reklamlari gercekten cok komik.	positive
705	Önce avea'ydım turkcell'e geçtim.sonra avea oldum,şimdi bir daha turkcell'e geçmek istiyorum maşallah :D	positive
706	Bu saatte telefon faturası mı gönderilir be Turkcell? Ben şimdi nasıl huzurla uyuyacağım?	negative
707	bu gidişle facebooku bırakacam  yani turkcell gibi oda sapıttı hani birde kullanıcıları rahatsız etmeyin uyarısı atıyor ya küfredecem haa	negative
708	paragoz turkcell nasi kacirdi ki bu firsati hayyyyret :D	negative
709	turkcell'e sor deki alihanın mesaj paketini neden bitirdiniz?	negative
710	ne zaman bu telefonlar makul fiyata elimize gececek?hem 24 ay taahut hemde dunyanin faturasi odeniyor.biz mi cok safiz acaba?	negative
711	sozde bende superonline 25 mhz kullaniyorum ama yalannn hepsi yalannn	negative
712	Yok yani yolda kaldık gel lastik değiş desek anlarız da zor iş bu çok basit yani turkcell seni mahvetmiş adamım	negative
713	Lan turkcell e bak yeni cihaz veriyormuş sonunda	positive
714	#turkcell çık hayatımdan.	negative
715	"1000 sms'in yetmediğini söylediğim Turkcell görevlisinin, ""Yeni bir aşk durumları mı? eheh"" diyerek gülmesi de, şahane. Ne desem boş."	negative
716	#TURKCELL senden çok büyük şlikayetlerim var	negative
717	12Yıldır Trcell faturalı hat kullanıyorm ama 6 aylık fatura toplamı 250TL geçmediğnden sözleşmeli telefon alamıyorm.Müşt. politikanızın a.q	negative
718	Mesaj geldi; Numaranız aynı kalsın, kazığın adı Turkcell olsun.	negative
719	İyiki bi nar paketimiz bitti turkcell 10 saniyede 3 mesaj attı	negative
720	evde superonline var buraya bekleriz	positive
721	turkcell kımı ne zaman mutlu etmıskı ? Anca devlet gıbı para kessın mılletten	negative
722	21 milyon 913 bin:  billboardlarındaki sevgi sözcüklerinin 20 günde ücretsiz resimli mesaj olarak gönderilme sayısı.	positive
723	Bu türkcell var ya beni deli edecek deli deli deli.	negative
724	"Reklam filmlerindeki ""Dış ses""in, son yıllarda #RTE tonlamasında konuştuğunu (Kasımpaşalı stayla) fark eden bir ben değilim"	negative
725	En kötüsü de, sms olmadığı zaman telefonum defalarca öter. Olduğu zaman ise,  sadece turkcell kontürlerimi yemek için kampanyalar sunar.	negative
726	sana attigim msjlar gelmiyi turkcel bizi sevmii :D	negative
727	beni unutmayan tek adam turkcell	positive
728	#2011MARKA keske suan orada olsam:( Turkiye'de gerceklesn en degerli olusumlardan.Benim icin konferansn en degerlisi ise tabiki TURKCELL;)	positive
729	telefonumu gizli numaradan arayıp hattınıza geçmemi teklif etmenizden tiksindim. geçeceğim varsa da geçmem.	negative
730	etiler turkcell subesi tarafindan tarafima hediye edilmistir... Bundan istiyosan turkcelle gidip azicik sevimli olmaya calis.	negative
731	vodofone'u yurtdışında kullanmak mantıklı ben turkcell ve aveada sorun yaşayanları gördüm ama vodofoneda ben dahil sorun yaşamdm	negative
732	e taşı ve rahatla.. Hadi bakalım	positive
733	Öztürk tiplemesi bile Turkcell'i sevmemek için bir sebep aslında.	negative
734	turkcell aldım memnun degilim	negative
735	İnternette korsan olarak dizi-film yayını yapan sitelerde Turkcell, Kale Seramik gibi firmaların video reklamları var. Bu nasıl iş şimdi?	negative
736	Photo: Dünyaya liderlik eden operatörlerden biri Türk Turkcell Superonline fiber internette dünya lideri...	positive
737	hocam son vodafone reklamındaki 'kardelen' dikkatinizi çekmiştir..nasıl bir mesaj var sizce turkcell'e ??	negative
738	normal mesaj gelince . sms mi kaldı diye şaşırıyorum mesğersem bizimki turkcell miş	negative
739	sanırım odamda ara sıra telim cekmıo. Dakka bası kım aramıs gelıyo. Turkcell iyice canımı sıkmaya basladın.	negative
740	Kotanda 15 mb'ın kalması nedir bilir misin ?İnsafsız,adi Türkcell	negative
741	Düzenli olarak bana mesaj atan Havayı Koklayan Adam!Lütfen bırak artık beni.Olmuyor işte,yürütemiyoruz.Konuş Turkcel'le de bir nefes alayım!	negative
742	4 çeker diye reklam yapıp Dogan görünümlü sahin kıvamında kalansin	negative
743	bu eksik bilgi sonrası maduriyetiniz için özür dileriz de yok! en azından bundan sonra bu gibi işlemlerin 'extra' ya taife dışı	negative
744	benim bu gsm ile alakasızlığım ne olucak turkcell msj yollamış 75 gündür tl yüklemiyormuşum şikayetci :) elimde olsa çöpe atıcam telefonuda	negative
745	fiyat acisindan gayet iyiler. Bende 1000 dakika avea ici ayni paket.+ 120 dk her yone. Turkcell biraz da hirsiz.	negative
746	iPhone4S Türkiye de de satışa çıkmış bulunmakta en uygun fiyat 99/24 buda 2300 küsür lira oda turkcell'den yalnız internet 100 mb tabiki :D	positive
747	yok bu kadar reklama göre uydu hızında sanarsn ) #ttnet 75tl fatura oduyorum ona uyz oluyorm  superonline kurtar beni:)	positive
748	biz turkcell i takip ediyoruz da turkcell de benim sorunmu bi takip etse şu kurumsal kimliği bı keenara bıraksa	negative
749	cim ok seviyosun beni lakin ben istemiyorum.Msjlarin yetmezmis gibi gun boyu aramak nedir? Acmayan Ozge acmiyor da...	negative
750	diye bir nick üzerinden gelen şikayetlere bile ancak 7 gün dayanabildi  in takip ettiği yöneticiler	negative
751	turkcell de benim sesim uygulamasini kaldirisaniz cok mutlu olucam bu gune kadar sesimi hic tanitamadim hep wc da mi olalim	negative
752	kalite herkezin hakkı diye türkcell heryerde 4 çekermiş.hayatta paylaşınca güzelmiş.ama HELİN. heryerde herzaman 5 çeker. alayınıza gider...	negative
753	"Dur bi mesaj atayim da heyecanlansin -Turkcell"""	negative
754	hayir birde telefon edip kontrol edicez diyip hicbi gelisme olmuyo. Devlet dairesinde burokrasi sizde daha beter durumda	negative
755	her yerde çeker de, bu hızla 3g hiç çekmese daha iyi. Sözleşme biter bitmez back to	positive
756	Sabah uyandigimda Turkcell'den gelen msji bile ozledim bee	negative
757	Eğer bir gün isterseniz siz de TURKCELL kampanyalarından yararlanabilirsiniz.. Yoksa halá TURKCELL li diil misiniz..	positive
758	soğuk ama 1 sıcak kahveye ısınırsın hayat paylaşınca güzel kahvemi paylaşabilirim seninle  &lt;3	positive
759	teşekkürler Turkcell	positive
760	Turkcell'in 3G hızı ABD'de deki 4G'den daha hızlı :)	positive
761	en uygun iphone4s paketi sanırım Gold Paket:turkcell:5000dk Her Yöne:2000dk Data:4GB   iPhone 4S 16GB 177 TL	positive
762	20 tl yükledim,turkcell'den 13 tane mesaj geldi....	negative
763	4 dakıka oldu hala beklıyorum... Cıdden agzını burnunu kırıcam turkcell.	negative
764	Dur bi mesaj atayımda sevdiğinden geldi zannetsin. -Turkcell	negative
765	telefonum bozuk canim yani suan yolladigim mesaj ancak sabaha gelir sana turkcell bana pek ugrayamiyor da...	negative
766	onu turkcell'e anlatıcaksın cnm :)	positive
767	Dogru bilgiyi alabilmek icin ne yapmam lazim illa kavga illa siddet off turkcell offf !!!!!	negative
768	Selini aricaktim ama arayamiyoruum salak trcell :(	negative
769	20 Mbit/s fiber  hattindan 1 dk lik 360p video nun gelmesi 7-8 dk suruyor. Gercekten super.. #rezalet #superonline	negative
770	OH BE!! Cok mutluyum :) 150 dakıkam ve 5300 sms verdi turkcell :)	positive
771	ilk defa turkcell i kazıkladım ahhahaha	negative
772	#turkcell in #iphone4s kampanyasını biraz yukarı çekecek olursak #dacia duster alabiliriz.	negative
773	sadece turkcell mesaj atiyorsa yalniz kalmissın demektir.	negative
774	#hayattansogutanseyler  in çok pahalı olması.	negative
775	TÜRKCELL SÜPERONLİNE ANADOLU YAKASINDAKİ SORUNUNU 2012 ÇÖZER Mİ ACABA.	negative
776	niye bana Turkcell in panolarindaki guzel sozlerin resmini cekip gondermiosuun? ;)	positive
777	O da var ama Dominos çok düzenliydi, belli saatlerde atardi, Turkcell işi düşünce atiyor :D	negative
778	numaramı Avea'ya taşıdım ama Turkcell o günden beri mesaj gönderip duruyor. bosuna ugrasma canım, sana dönmem bir daha :))	negative
779	ewt hayat paylaşınca güzel ve bu dünyada sizlr gibi değerli insanların olması kadar güzel bir şey yok (:	positive
780	Elektrik gitti Allah'tan 3G var thanks turkcell :-))	positive
781	#encoksevdigimsey Turkcell ile hayata bağlanmak	positive
782	bi sorun mu var mesaj atamıyoruz reiz	negative
783	#turkcellfestival Turkcell'in canlı konser için MODEL seçimi çok başarılı olmuş!!! Şarkı sözleri de sound da çok iyi. Aynen devam MODEL!	positive
784	ttnet dusunme bile en iyisi superonline	positive
785	"Kişiyi sesiyle algılama olayı ne komik. Az önce 3 defa ""Turkcell beni sesimden tanır."" demek zorunda kaldım."	negative
786	#superonline yalan atmasanız iyidi söz veriyosanız tutmalısınız isminiz çalışanlarınız yüzünden zarar görüyor .	negative
787	Butun kampanyalarda kazigi herzaman turkcelliler yer yasasin #turkcell	negative
788	sayın genel müdür, ben bir turkcell kullanıcısıyım. hatay reyhanlı da yaşamaktayım. bulunduğumuz yerde malesef turkcell	negative
789	""" Bugün de mesaj atmadın.. kesin başka biri var"	negative
790	turkcell hayatımdakı kolaylık ondan :)	positive
791	bir hafta icerisinde kurulum yapacaktiniz,araya bayram tatili girdi o zamandan bu zamana ne arayan ne gelen var	negative
792	Bir adam vardı canı sıkılıyordu. Bir film izledi can sıkıntısı gitti. Eski bir turkcell reklamı :) hey gidi günler	positive
793	iyi. hıh. turkcel bulamadım :D	negative
794	POLIS mesaj atiyo canim benim turkcell ve o olmasa ne yaparim bilmiyorum	positive
795	#Superonline müşteri hizmetleri gerçekten hızlı bir şekilde sorunumu çözdü.	positive
796	Bir kez daha cüzdanı evde unuttum ama Turkcell mobil imza sayesinde Garanti'den para çekip gunumu sorunsuz götürüyorum :)	positive
