term	polarity
تمتص	neg
تبلد	neg
مقيت	neg
تشوه	neg
التبسيط	neg
تبسيط	neg
سئم	neg
تماوج	neg
تبذير	neg
ميل	neg
تبختر	neg
تبجحا	neg
تآمر	neg
التآكلات	neg
الصدأ	neg
تآكل	neg
صدأ	neg
تبكيت الضمير	neg
عقابي	neg
التأخير	neg
تأخير	neg
تأخر	neg
تخلفت	neg
ضائع	neg
تجبر	neg
توبيخ	neg
لا قيمة له	neg
ضئيل	neg
شقي	neg
ضعاف	neg
تثبيط	neg
بطيء	neg
سحر	neg
ندم	neg
تفاوت	neg
بوقاحة	neg
على نحو قاس	neg
بهيمي	neg
مظلم	neg
حير	neg
حيرة	neg
مهرج	neg
لعنة	neg
هرج	neg
كذاب	neg
مخدر	neg
بخبث	neg
بعنف	neg
على مضض	neg
الكسل	neg
تخدير	neg
بلا هوادة	neg
انتحب	neg
ندب	neg
بعناد	neg
عذر	neg
وبخ	neg
أنين	neg
الأنين	neg
لطخة	neg
اللطخات	neg
وصمة	neg
البقع	neg
بقع	neg
بقايا	neg
بصورة مروعة	neg
كريه	neg
بغيض	neg
الذميمة	neg
ممقوت	neg
بغي	neg
عدوان	neg
كالبغل	neg
بشكل غريب	neg
بحماقة	neg
فجور	neg
خاطئ	neg
بمرارة	neg
بغضب	neg
بحذر	neg
بدقة	neg
عزل	neg
محق	neg
بطريقة غريبة	neg
التخلف	neg
بهزل	neg
ببطء	neg
بصعوبة	neg
بغرابة	neg
مشوه	neg
الفظاعة	neg
عابس	neg
بسخافة	neg
جرح	neg
وميض	neg
مستنقع	neg
عشب	neg
بارد	neg
مص	neg
مصيبة	neg
وحشية	neg
بربرية	neg
همجي	neg
هذرم	neg
غائط	neg
وقحة	neg
بذاءة	neg
ساكن	neg
بلا خجل	neg
بدعة	neg
عجل	neg
شحيح	neg
نكد	neg
بخيل	neg
بقلق	neg
بفظاظة	neg
ناقص	neg
بحياء	neg
بخوف	neg
غرور	neg
مغرور	neg
بغيرة	neg
افتقد	neg
بتشاؤم	neg
بتهور	neg
على نحو بائس	neg
للأسف	neg
باهظة	neg
باندفاع	neg
غالى في	neg
لا محالة	neg
عن طريق الخطأ	neg
المهترئ	neg
عاص	neg
فاحش	neg
معتد	neg
الضلال	neg
أكذوبة	neg
قارس	neg
متكبر	neg
الكره	neg
تعمية	neg
مؤجل	neg
عقائدي	neg
أضعفت	neg
ضلل	neg
بدائي	neg
السخرية	neg
بسخرية	neg
السخريات	neg
معتد بنفسه	neg
حطام	neg
الأوغاد	neg
مصلحة شخصية	neg
إشكالية	neg
مؤلم	neg
معاناة	neg
آلام	neg
عذاب	neg
وجع	neg
يبطل	neg
ألعوبة	neg
أغرب	neg
أربك	neg
أعرج	neg
أفعى سامة	neg
أحبط	neg
يحبط	neg
التطرف	neg
طغت	neg
سمم	neg
أفقر	neg
أصم	neg
يشوه	neg
يفقد	neg
قتامة	neg
الأسوأ	neg
أسوأ	neg
يؤرق	neg
شفقة	neg
الوهمية	neg
خرافي	neg
خرافة	neg
أساء التصرف	neg
يخطئ	neg
توتر	neg
مجاعة	neg
ازعجت	neg
أقلق	neg
أزاح	neg
الطائش	neg
أرهب	neg
ترعب	neg
أزعج	neg
الأضرار	neg
إساءة	neg
غمر	neg
غمرت	neg
كفن	neg
يحجب	neg
أخطأ	neg
أخطأ في الحكم	neg
أهان	neg
أخرق	neg
أحمق	neg
أغضب	neg
تعوزه الكفاءة	neg
معتوه	neg
غير المدروسة	neg
أبله	neg
الأبله	neg
أرعن	neg
سخيف	neg
أسخط	neg
لسع	neg
لذع	neg
متاعب	neg
أجهض	neg
أجوف	neg
عقيم	neg
أجش	neg
بأنانية	neg
أذناب	neg
أبلى	neg
أخرس	neg
يمقت	neg
يفسد	neg
تلكأ	neg
يقتل	neg
بفتور	neg
إبادة	neg
نرفزة شديدة	neg
يرفض	neg
المتفجع	neg
تحذيري	neg
التعديات	neg
إمرأة سليطة	neg
إلهاء	neg
حذف	neg
بإصرار	neg
إكراه	neg
وسيلة للتحايل	neg
بهتانا	neg
مبالغة شديدة	neg
إغاظة	neg
إغراء	neg
التحريض	neg
دعاية	neg
قام بالدعاية	neg
إتلاف	neg
تعطيل	neg
العدوى	neg
عدوى	neg
باسراف	neg
بإفراط	neg
المضايقات	neg
إزعاج	neg
إزالة	neg
إدانة	neg
استنكارات	neg
إطفاء	neg
تشويش	neg
إنذار	neg
التراجع	neg
إحباطا	neg
خيبات الأمل	neg
خيبة أمل	neg
مخيب للآمال	neg
هزيمة	neg
بشكل فادح	neg
جبري	neg
جبريا	neg
تحرش	neg
المخاوف	neg
أقام دعوة	neg
التباسات	neg
شيطان	neg
شيطانيا	neg
منفى	neg
إلغاء	neg
إحباط	neg
منخس	neg
محو	neg
على نحو مبتذل	neg
الفحش	neg
الفسوق	neg
فسوق	neg
الفاسق	neg
فاسق	neg
الفاسقات	neg
بشكل فاسق	neg
الرفض	neg
مواطن الخلل	neg
فرض	neg
مجنون	neg
هوس	neg
نحيل	neg
ضعف	neg
هرب	neg
هذر	neg
الاهتزاز	neg
اهتزاز	neg
خرف	neg
هجوم	neg
عيب	neg
هجا	neg
انهزامي	neg
انحطاط	neg
نهب	neg
تضاؤل	neg
ارتدادي	neg
قصف	neg
تحطمت	neg
تتحطم	neg
نفر	neg
احتج	neg
انسداد	neg
هدام	neg
سقوط	neg
نكر	neg
انقطاع	neg
الخيبة	neg
قلل	neg
خسيس	neg
قليل الحظ	neg
نقص	neg
انطلق	neg
هدم	neg
استسلم	neg
عدم الترابط	neg
قطع	neg
توقف	neg
نفاق	neg
انخفاض	neg
نهم	neg
داع	neg
صداع	neg
شقا	neg
انشقاق	neg
شقاق	neg
صدع	neg
صد	neg
خرق	neg
شق	neg
مزق	neg
تمزق	neg
انسلاخ	neg
تراجع	neg
غادر	neg
انسحاب	neg
اندلاع	neg
انبعث	neg
خفض	neg
رخص الثمن	neg
بدين	neg
تدهور	neg
يتدلى	neg
انهيار	neg
انحلال	neg
تفسخ	neg
لؤم	neg
شذوذ	neg
الشذوذ	neg
انحدار	neg
اعتداء	neg
انتهاكات	neg
الاعتداء	neg
انتقامي	neg
ثأري	neg
إهانة	neg
تورم	neg
تضخم	neg
تطاير	neg
نوح	neg
نبذ	neg
روع	neg
مروع	neg
حادث	neg
حاد	neg
طمس	neg
حرم	neg
عصى	neg
امتص	neg
انتزع	neg
ظلم	neg
دمر	neg
صدئ	neg
الوغد	neg
النصح	neg
الوحشية	neg
إبن زنا	neg
ضر	neg
المحتال	neg
خصم	neg
الناقد	neg
الميت	neg
وفاة	neg
الموت	neg
الإدمان	neg
المهرطق	neg
الانقلابيين	neg
المنشق	neg
الخصم	neg
المغشوشة	neg
الملكية	neg
المتآمرين	neg
المؤامرات	neg
المواجهة	neg
المذنب	neg
الرهيبه	neg
المرعب	neg
المتضرر	neg
مدان	neg
الغشاش	neg
المقلد	neg
المتفاخر	neg
المجهدة	neg
المتهرب	neg
اللعن	neg
الخمول	neg
جبان	neg
الفضلات	neg
غاز	neg
الخصومة	neg
عقبات	neg
العادم	neg
المغازل	neg
التوجيه الخاطئ	neg
إلحاق	neg
المثبط	neg
إبليس	neg
الظنون	neg
السباب	neg
التهكم	neg
الركود	neg
المحتالون	neg
غير واقعية	neg
زنزانة	neg
الغيرة	neg
الحسد	neg
الاستقطاب	neg
تشددا	neg
الادعاءات	neg
التهاب	neg
قرحة	neg
تأجيج	neg
التشدق	neg
العناد	neg
التجمد	neg
شك	neg
اشتبه	neg
البخيل	neg
البائس	neg
الأعجب	neg
هستيري	neg
هستيريا	neg
هستيرية	neg
الأرق	neg
الحضيض	neg
المغفل	neg
عذاباته	neg
نزيه	neg
اغتم	neg
تقييد	neg
منحط	neg
قرع	neg
قتل	neg
كذب	neg
نميمة	neg
فساد	neg
تبجح	neg
وشى	neg
الأفعوانية	neg
الملتوية	neg
ملتويا	neg
هجر	neg
عرج	neg
عتم	neg
اعتقال	neg
احتجاج	neg
اعتراض	neg
احتجاجا	neg
احتجاجات	neg
دفاعي	neg
سوء رعاية	neg
كشف	neg
ظلام	neg
بالغ	neg
مبالغة	neg
بال	neg
اضطهاد	neg
طغيان	neg
الاضطرابات	neg
الهلع	neg
اصطاد	neg
باشمئزاز	neg
بالاشمئزاز	neg
وهج	neg
صعوبة	neg
صلابة	neg
تعقيد	neg
عبوس	neg
بؤس	neg
شكا	neg
اشتباه	neg
الشكوك	neg
اشتباك	neg
بشك	neg
حبس	neg
مناشدات	neg
استياء	neg
الاستياء	neg
تستنفد	neg
يسخر	neg
هزء	neg
تنكر	neg
استنكر	neg
علامة إستهجان	neg
ركد	neg
المتسربين	neg
ينزف	neg
إنهاك	neg
استبد	neg
استبداد	neg
استقال	neg
المحرضين	neg
التسول	neg
تسول	neg
تسرع	neg
استعباد	neg
ازدرى	neg
إخضاع	neg
الاسترداد	neg
احتقر	neg
إقصاء	neg
استخف	neg
ستار	neg
شمولي	neg
مستبد	neg
اجتث	neg
زورا	neg
ضيق	neg
مضايقات	neg
المنافقين	neg
النفاق	neg
منافق	neg
ازدراء	neg
الإحتقار	neg
حيد	neg
تشنج	neg
إصابة	neg
تخبط	neg
ضرب	neg
ادعاء	neg
مقاضاة	neg
نادرا	neg
دحض	neg
مذنب	neg
مجرم	neg
تفريغ	neg
ضل	neg
خزن	neg
خزان	neg
عاتب	neg
القسوة	neg
الشدة	neg
قسوة	neg
فوضى	neg
افتراء	neg
افترائي	neg
مخالفة	neg
غير مطابقة	neg
سرقة	neg
هزة	neg
رجفة	neg
خداع	neg
الإختراق	neg
جنون	neg
كشر	neg
فزع	neg
شجب	neg
حرق	neg
بمكر	neg
احتكاك	neg
ازدرائي	neg
بازدراء	neg
إذلال	neg
وحيد	neg
صراخ	neg
احتقان	neg
الحيرة	neg
اجهاد	neg
فخ	neg
صياح	neg
نفور	neg
تضاد	neg
رغم	neg
توهج	neg
اتهم	neg
استنكار	neg
هلك	neg
تلف	neg
فسد	neg
هلاك	neg
تطفل	neg
صدفة	neg
بشدة	neg
تعب	neg
المواقف	neg
كره	neg
ذم	neg
طرد	neg
طرح	neg
هدر	neg
ابشع	neg
احتقار	neg
كلام فارغ	neg
تدمير	neg
ابتداعي	neg
احداث تشويش	neg
استعراض العضلات	neg
الإذلال الذاتي	neg
الإفراط في التقييم	neg
الإفراط في المتوازنة	neg
الإفراط في تصرف	neg
الإفراط في رهبة	neg
الإمبريالية	neg
الأحادية	neg
الأعراض	neg
الأقل نموا	neg
الأكثر تضررا	neg
البطة العرجاء	neg
البلداء	neg
البلطجة	neg
التجاعيد	neg
التحريفات	neg
التحوط	neg
التذبذب	neg
التشابك	neg
التصرفات العدائية	neg
التعتعة	neg
التعددية القطبية	neg
التفاهه	neg
الجروح	neg
الحزبية	neg
الدقات	neg
الرغبة في الانتقام.	neg
السذاجة	neg
السياط	neg
الشائعات المروعة	neg
الشرير	neg
الشكاوى	neg
الصدمة	neg
الصراعات	neg
الصورة النمطية	neg
الصئيل	neg
الضعيفة	neg
الطعجات	neg
العاق	neg
العبيد	neg
العشوائية	neg
الغازية	neg
الغاصب	neg
القحبة	neg
القهري	neg
الكارب	neg
الكفار	neg
اللعنة	neg
اللفات	neg
الله فظيعة	neg
المتسلل	neg
المحسوبية	neg
المخالفين	neg
المذبوحة	neg
المرتبة الثانية	neg
المسرحين	neg
المسوخ	neg
المصلحة الذاتية	neg
المطلق صوتا	neg
المطمئنين	neg
المظالم	neg
المفارقات	neg
المفاهيم الخاطئة	neg
المقلقة	neg
النقاد	neg
النمطية	neg
الهف	neg
الهمج	neg
الوظائف قتل	neg
انتحار	neg
انتحاري	neg
انخفاض تقييما	neg
انقلاب ذاتي	neg
إحراج	neg
إساءة استخدام	neg
إضعاف	neg
إطلاق العنان	neg
إغتصب سلطة	neg
إفراط في التصغير	neg
أثار أعصابه	neg
أحادي القطب	neg
أحد طبعا	neg
أخطأ في الحساب أو التقدير	neg
أساء التفسير	neg
أساء الفهم	neg
أصغر من الحجم العادي	neg
أعراض	neg
أعطى أهمية كبيرة	neg
أعلى الثقيلة	neg
أفطس	neg
أفقرت	neg
أقبح	neg
أقسى	neg
أقل شهرة	neg
أكبر من المعتاد	neg
أكثر إخافة	neg
أكثر من لفقت	neg
ألعاب بهلوانية بارعة	neg
بتعاسة	neg
بسذاجة	neg
بشكل عشوائي	neg
بشكوك	neg
بلا رحمة	neg
بلا ضمير	neg
تتنكر	neg
تتهادى	neg
تحدث بحماسة	neg
تداعيات	neg
تستنكف	neg
تشتعل	neg
تصيد الأخطاء	neg
تعاني	neg
تعوزه الفضيلة	neg
تغلي	neg
تفتقر	neg
تكتسح	neg
تلتهم	neg
تنتابهم	neg
تنتهج	neg
تهافت	neg
تهتز	neg
توصف	neg
ثانوية	neg
جذوعها	neg
جنون العظمة	neg
حكم مسبقا	neg
خنثى	neg
خياني	neg
دعوى قضائية ضد	neg
دون المستوى	neg
دون أن يلاحظها أحد	neg
ذاتي التدمير	neg
رخوي	neg
رفض بازدراء	neg
رهينة	neg
سارعت	neg
ساغي	neg
سوء استخدام	neg
سوء السمعة	neg
سوء المحيا	neg
سوء تصميم	neg
سوء مصنفة	neg
شبه متخلف	neg
شريرة	neg
شيطنة	neg
صفعة على الكفل	neg
ضد السقوط	neg
طويل وضامر	neg
عاثت	neg
عاجز عن إحداث	neg
عالي الكعب	neg
عالية الثمن	neg
عانت	neg
عدم ثقة بالنفس	neg
عقب السيجارة	neg
عقمه	neg
على نحو إجرامي	neg
عملاء	neg
غير الثقة	neg
فور ملهبا	neg
في ظروف غامضة	neg
قراءة خاطئة	neg
قصر النظر	neg
كبش الفداء	neg
لخدمة مصالح ذاتية	neg
ماتي	neg
مبلى	neg
متسللين	neg
متشنج	neg
متعذر التطبيق	neg
متفاوت	neg
متنازل	neg
متواطئة	neg
متوخز	neg
مثار	neg
مثل بصورة مبالغ فيها	neg
مثير للغثيان	neg
مثيرة للقلق	neg
محاباة الأقارب	neg
محكوم	neg
مخيفة	neg
مذكرات الاستدعاء	neg
مريض بجنون العظمة	neg
مستغرق وقتا طويلا	neg
مسكون بالارواح	neg
مضجوج	neg
مظلل	neg
معدوم	neg
مفسد البهجة	neg
مكلفة	neg
ملىء بالقمامة	neg
من الدرجة الثانية	neg
من الصعب إرضاءه	neg
من تهوره	neg
منذ فترة طويلة	neg
مهددة للحياة	neg
نخز ودفع	neg
نزعة الانتقام	neg
نسيء	neg
نفطة	neg
نقاط الضعف	neg
نقطة الصفر	neg
هجوما عنيفا	neg
هزيمة ذاتية	neg
هشا	neg
هياكل عظمية	neg
وصمة عار	neg
ومن المفارقات	neg
يبعث على السخرية	neg
يتقاضون أجورا	neg
يتيم	neg
يدعو إلى الرثاء	neg
يرثى له	neg
يساء فهمه	neg
يستأسد	neg
يسرق	neg
يسفسف	neg
يسيئون	neg
يشوبه	neg
يعانون	neg
يعاني	neg
يفتقر	neg
يقاضي	neg
يلحق	neg
يلوث	neg
يمس	neg
ينتن	neg
ينطلق	neg
يهتز	neg
يهون	neg
يؤكد	neg
التي لا ترحم	neg
بشكل غير طبيعي	neg
بشكل غير عادل	neg
بلا إثبات	neg
بلا حب	neg
بلا حول ولا قوة	neg
دون هوادة	neg
عدم التوافق	neg
عدم الثبات	neg
عدم موثوقية	neg
غير اقتصادية	neg
غير الضرورية	neg
غير المبررة	neg
غير المستدامة	neg
غير الممولة	neg
غير المنضبط	neg
غير المهرة	neg
غير المؤمن عليهم	neg
غير داعمة	neg
غير دستوري	neg
غير ذات صلة	neg
غير راغبة	neg
غير شعبي	neg
غير صالحة للاستعمال	neg
غير قابل للإلغاء	neg
غير قابل للقراءة	neg
غير قابلة للتحصيل	neg
غير قابلة للتحقيق	neg
غير قادرة على المنافسة	neg
غير متاح	neg
غير متأكد	neg
غير متعاون	neg
غير متوافق	neg
غير مثبتة	neg
غير محلها	neg
غير مربح	neg
غير مرخصة	neg
غير مساعد	neg
غير معتمد	neg
غير مقنع للعقل	neg
غير منحل	neg
غير موثوق	neg
غير موثوق به	neg
غير وقور	neg
لا أساس لها من الصحة	neg
لا تستجيب	neg
لا تعوض	neg
لا عزاء له	neg
لا فهم	neg
لا يحملون وثائق	neg
لا يفكر به	neg
لا يقاس	neg
لا يمكن التنبؤ به	neg
لا يمكن الدفاع عنها	neg
لا يمكن الوصول	neg
لا يمكن إصلاحه	neg
لا يمكن تجنبه	neg
لا يمكن تحمله	neg
لا يمكن تصورها	neg
لم تتحقق	neg
لم تختبر	neg
لم تنته	neg
لم يتم حلها	neg
لم يمسها	neg
متعذر حله	neg
معتذر كبحه	neg
من غير المحتمل	neg
استبدادي	neg
استنزاف	neg
اعتباطي	neg
الاعمال الوحشية	neg
الأوجاع	neg
التجريح	neg
التجريد من الإنسانية	neg
الجانب السلبي	neg
الحدة	neg
الحزانى	neg
الحساسية	neg
الطعن	neg
اللاذعة	neg
المتنازع عليها	neg
المثبط للهمم	neg
المستبد	neg
النهاية هزلية	neg
الهبوطية	neg
الهجمات	neg
انتحل	neg
إبادة جماعية	neg
إبتعد عن	neg
إرباك	neg
إلى حد بعيد	neg
إلى حد مربك	neg
إنغمس في	neg
أبو وجهين	neg
أثار سخطه	neg
أغبى	neg
أفشى من غير تفكير	neg
أكثر تكلفة	neg
أوجه القصور	neg
آكل لحم البشر	neg
بارتياب	neg
بثمن بخس	neg
بجرأة	neg
بحزن شديد	neg
بربرة	neg
بشكل سيئ	neg
بشكل لا يطاق	neg
بشكل محموم	neg
بشكل مخيف	neg
بشكل مروع	neg
بشكل مزعج	neg
بشكل يائس	neg
بصورة حادة	neg
بعيد الإحتمال	neg
بعيد المنال	neg
بغباء	neg
بغرور	neg
بقسوة شديدة	neg
بقلة احترام	neg
بلاه	neg
تثير الارتباك	neg
تجاهل	neg
تجفيف	neg
تحرير من الوهم	neg
تحسر على	neg
تسمر الشعر	neg
تشويه صورة	neg
تعبير ساخر	neg
تعرض للخطر	neg
تعصب أعمى	neg
توقف فجأة	neg
ثبط العزيمة	neg
ثبط الهمة	neg
جدلي	neg
جدير باللعنة	neg
جرد من الملكية	neg
حالة طوارئ	neg
حزن على	neg
حساسي	neg
حساسية	neg
حط من قدر	neg
خجلان	neg
خدمة سيئة	neg
خطبة لاذعة	neg
خيبة الأمل	neg
رجل عصابة	neg
رجل غريب	neg
رئيس صوري	neg
زعزعة الاستقرار	neg
سحق	neg
سفك الدماء	neg
سلقها	neg
سلوك شيطانى	neg
سيء السمعة	neg
شخص جبان	neg
شديد الحساسية	neg
شوه سمعة	neg
شىء ضبابي	neg
صام للأذن	neg
صرف الانتباه	neg
ظهور تقرحات	neg
عدم وضوح	neg
على نحو سخيف	neg
على نحو مهلك	neg
عمل روتيني	neg
غريب الأطوار	neg
غسل أدمغة	neg
غير لبق	neg
فاشل	neg
قاسي القلب	neg
قضم	neg
قليل الاحترام للآخرين	neg
كثير النسيان	neg
كدمات	neg
لا يسبر غوره	neg
مادة كاوية	neg
مادة متفجرة	neg
متخلف عقليا	neg
متعطش للدم	neg
مثير للاشمئزاز	neg
مثير للحنق	neg
محاولة تزوير	neg
محزر	neg
مخاوف	neg
مخل بالنظام	neg
مدمني	neg
مرتبك	neg
مسبب للخلاف	neg
مستحق اللوم	neg
مشكوك فيه	neg
مصاب بالدوار	neg
مصاب بدوار	neg
مصاب بفقر الدم	neg
مضنية	neg
مقاطعة	neg
مهاجمة	neg
مولع بالقتال	neg
مومس	neg
نتائج عكسية	neg
نزع الاحشاء	neg
نظرة ساخرة	neg
هاجم بعنف	neg
هبوط بالمستوى	neg
هرج ومرج	neg
هزلية ولكن في ذات الاستفزازية	neg
وإذ تعرب عن استيائها	neg
وتتهم	neg
وقع في الشرك	neg
يزعج	neg
يغتب	neg
ينذر بالخطر	neg
ينضب	neg
بلا هدف	neg
بينما لم يعجب	neg
دون جدوى	neg
عامل غير بارع	neg
عدم احترام	neg
عدم ثقة	neg
عديم الأمانة	neg
غير أمين	neg
غير ضروري	neg
غير طبيعي	neg
غير متناسب	neg
غير مثمر	neg
غير مرض	neg
غير منظم	neg
لا أساس له	neg
لا مبالي	neg
ولد غير شرعي	neg
كاشط	neg
بصق	neg
السخف	neg
ذريعا	neg
يقظة	pos
ولاء	pos
محام	pos
لطيف	pos
إخلاص شديد	pos
جميل	pos
جهد	pos
ودي	pos
أخوي	pos
وحدة	pos
كاف	pos
واضح	pos
هيبة	pos
نسيم	pos
هائل	pos
هاجس	pos
ربوة	pos
مثالي	pos
نموذج	pos
تلذذ	pos
لطيفة	pos
عفيف	pos
نظافة	pos
لا يقدر بثمن	pos
لا عيب فيه	pos
نظيف	pos
انتعاش	pos
فعالية	pos
غير متحيز	pos
رشاقة	pos
النبيل	pos
مفيد	pos
ناعم	pos
أملس	pos
ناضج	pos
رقيق	pos
ناجح	pos
مبسط	pos
جدارة	pos
مؤيد	pos
عابد	pos
مؤدب	pos
مؤثر	pos
أنيس	pos
موهوب	pos
موفق	pos
هادف	pos
رفرفة	pos
موثوق	pos
مهيب	pos
احتفال	pos
مهارة	pos
موهبة	pos
منيع	pos
منور	pos
منقطع النظير	pos
منقذ	pos
منظم	pos
منظف	pos
مشدوه	pos
معجب	pos
مندمج	pos
منح	pos
مكمل	pos
منتصر	pos
منتصرا	pos
منتج	pos
منتبه	pos
مؤات	pos
ملائم	pos
لائق	pos
مريح	pos
لحسن الحظ	pos
متقد	pos
مسموع	pos
ممجد	pos
غزير	pos
زاخر	pos
ممتع	pos
ممتاز	pos
ملموس	pos
ملكي	pos
موافقة	pos
مقروء	pos
متعهد	pos
مفهوم	pos
مفعم بالحيوية	pos
قوي	pos
مغرم	pos
مغذ	pos
روحي	pos
مقبول	pos
معصوم	pos
معروف	pos
ألفة	pos
مندهش	pos
معافى	pos
ناجي	pos
مع الشكر	pos
مطلق	pos
مضياف	pos
فوائد	pos
مصلحة	pos
مصقول	pos
مشهور	pos
مشع	pos
مشرف	pos
مسل	pos
مسلي	pos
مستقل	pos
متوازن	pos
مستحق	pos
غير معادي	pos
مساعدة	pos
وردي	pos
نشيد	pos
مزدهر	pos
ليونة	pos
مرونة	pos
مطواع	pos
قابل للتكيف	pos
مرن	pos
مرمم	pos
مرغوب فيه	pos
مرح	pos
واحة	pos
مربح	pos
مدوخ	pos
مدمج	pos
مدروس	pos
مدخرات	pos
زكى	pos
مخلص	pos
متنوع	pos
مبتكر	pos
مفضل	pos
محسن	pos
مطيع للقانون	pos
محترم	pos
محبوب	pos
عاشق	pos
منصف	pos
مجد	pos
سيادة	pos
كياسة	pos
قدوة	pos
اجتهاد	pos
مثابرة	pos
شديد التدقيق	pos
متزلف	pos
متواضع	pos
المحمول	pos
متناغم	pos
منسجما مع	pos
متميز	pos
متماسك	pos
لامعة	pos
قابل للتعديل	pos
متكامل	pos
متطور	pos
متفائل	pos
مشجع	pos
واعد	pos
متعلم	pos
متعدد الجوانب	pos
متجاوب	pos
تنافسي	pos
متألق	pos
متاح	pos
مبهج	pos
ميمون	pos
مبدع	pos
مسرور	pos
سعي	pos
باستقامة	pos
حاذق	pos
بارع	pos
متبل	pos
سهل	pos
ود	pos
لطافة	pos
حق	pos
لا يقاوم	pos
لا يعرف الخوف	pos
لا يرقى إليه الشك	pos
غير محدود	pos
لا مثيل له	pos
بشكل لا لبس فيه	pos
لا لبس فيه	pos
أساسي	pos
لا بديل له	pos
لا تنتهك حرمته	pos
في حينه	pos
كلاسيكي	pos
من الطراز الأول	pos
احتفل	pos
وافر	pos
خصب	pos
وفرة	pos
كافأ	pos
مناسب	pos
ثقف	pos
أهمية	pos
قيادة	pos
وطني	pos
تغلب	pos
انتصار	pos
عظمة	pos
عظم	pos
جدي	pos
شرعي	pos
قانوني	pos
قادر على	pos
فورا	pos
المرح	pos
بثقة	pos
فعال	pos
ذكي	pos
فسيح	pos
لا نظير له	pos
فردية	pos
جذلا	pos
جذلان	pos
فداء	pos
فجر	pos
زيادة	pos
فاقه دهاء وحيلة	pos
فخم	pos
مثير	pos
غير مؤلم	pos
غير مقيد	pos
غير مضر	pos
غير مرتبط	pos
غير متأثر	pos
غير ضار	pos
غير أناني	pos
مكاسب	pos
إثراء	pos
قمة	pos
حر	pos
رد	pos
حي	pos
سرور	pos
فرح	pos
بهج	pos
عناق	pos
عن طيب خاطر	pos
عمليا	pos
عملي	pos
بذكاء	pos
على نحو سليم	pos
لافت للنظر	pos
على نحو جميل	pos
علاقة	pos
عقلاني	pos
منطقي	pos
معقول	pos
تعقل	pos
عفو	pos
غفران	pos
تعزية	pos
واسع	pos
مفاتحة	pos
عذوبة	pos
صبر	pos
أسرع	pos
عبقرية	pos
عبق	pos
مترف	pos
عاطفي	pos
حساس	pos
بارز	pos
حلو	pos
لذيذ	pos
ترف	pos
رفع	pos
سلاسة	pos
نكهة	pos
حكيم	pos
طاهر	pos
ضمان	pos
تأمين	pos
باسم	pos
هتاف	pos
تهدئة	pos
صفقة	pos
صفاء	pos
وضوح	pos
مصداقية	pos
إخلاص	pos
صحي	pos
تحمل	pos
صامت	pos
حاسم	pos
شهم	pos
شهامة	pos
شاف	pos
شفاف	pos
إحساس	pos
شعبي	pos
وسام	pos
توضيح	pos
شخصية	pos
جرأ	pos
شجاعة	pos
حمس	pos
مغامر	pos
تثبت	pos
شاكر	pos
سيطر	pos
سيد	pos
سهل جدا	pos
سمعة	pos
سمة مميزة	pos
ميزة	pos
سماوي	pos
سليم	pos
سلى	pos
سلمي	pos
سلام	pos
أمانة	pos
متعة	pos
سعيد	pos
مبتهج	pos
قدرة	pos
سطع	pos
خفة	pos
نخبة	pos
عميق	pos
سحري	pos
جاذبية	pos
مهم	pos
متقدم	pos
ساعد	pos
متوهج	pos
متلألئ	pos
مشرق	pos
مضيء	pos
بهيج	pos
دافئ	pos
ساحرة	pos
ساحر	pos
علاوة	pos
زهر	pos
سريع	pos
وقر	pos
زمالة	pos
راغب	pos
رياضي	pos
حنون	pos
رومانسي	pos
روعة	pos
هام	pos
رفاهية	pos
بحبوحة	pos
بارك	pos
أسعد	pos
غير مكلف	pos
أجاز	pos
رحيم	pos
رحمة	pos
داعمة	pos
راحة	pos
رابط الجأش	pos
وحي	pos
ذو معنى	pos
ذهبي	pos
مذكر	pos
ذروة	pos
ديناميكي	pos
دون شروط	pos
برقة	pos
دهشة	pos
دهش	pos
سعة الحيلة	pos
دقيق	pos
دقة	pos
مكافأة	pos
تأييد	pos
أيد	pos
دعم	pos
فكاهة	pos
دبلوماسي	pos
داهن	pos
خيري	pos
حالم	pos
إبداعي	pos
بديع	pos
خفف	pos
هام جدا	pos
جدية	pos
طريف	pos
خصيب	pos
مثمر	pos
بركة	pos
راض	pos
مميز	pos
حماس	pos
حيوي	pos
حيوية	pos
حماية	pos
نابض بالحياة	pos
حميم	pos
المعرفة	pos
شكر	pos
رعاية	pos
حلاوة	pos
جائز	pos
مقتصد	pos
حقيقي	pos
واقعي	pos
أصلي	pos
حفز	pos
حصافة	pos
حكمة	pos
حسن السمعة	pos
حسن الاطلاع	pos
متحمس	pos
حرية	pos
قداسة	pos
حرص	pos
دفء	pos
جديد	pos
متجدد	pos
حدسي	pos
حسم	pos
فصيح	pos
فطنة	pos
دفع	pos
حث	pos
محب	pos
حبيبة	pos
سعادة	pos
حنان	pos
زاخر بالأحداث	pos
المثير	pos
جيد	pos
صالح	pos
سهولة	pos
كريم	pos
سخي	pos
وسيم	pos
رائع	pos
توفيق	pos
جليل	pos
جلالة	pos
جائزة	pos
جرأة	pos
جذب	pos
مغري	pos
جدير بالملاحظة	pos
جدير بالتقدير	pos
منعش	pos
نعمة	pos
طموح	pos
مؤكد	pos
مجتهد	pos
تزكية	pos
ثمين	pos
ثراء	pos
استقرار	pos
صمود	pos
ثوري	pos
مستقر	pos
